STATION,date,ENTRIES,EXITS
28 ST,2018-03-07,35769.0,31974.0
28 ST,2018-03-08,46434.0,43884.0
28 ST,2018-03-09,47506.0,44266.0
3 AV,2018-03-03,5768.0,6485.0
3 AV,2018-03-04,4461.0,4634.0
3 AV,2018-03-05,6919.0,6780.0
3 AV,2018-03-06,7139.0,7068.0
3 AV,2018-03-07,4912.0,5451.0
3 AV,2018-03-08,6966.0,6956.0
3 AV,2018-03-09,7335.0,8049.0
3 AV 138 ST,2018-03-03,4072.0,2858.0
3 AV 138 ST,2018-03-04,3089.0,2279.0
3 AV 138 ST,2018-03-05,7651.0,4194.0
3 AV 138 ST,2018-03-06,7841.0,4477.0
3 AV 138 ST,2018-03-07,5942.0,3813.0
3 AV 138 ST,2018-03-08,7529.0,4153.0
3 AV 138 ST,2018-03-09,7413.0,4368.0
3 AV-149 ST,2018-03-03,9133.0,5674.0
3 AV-149 ST,2018-03-04,-67102879.0,-16772881.0
3 AV-149 ST,2018-03-05,18782.0,8460.0
3 AV-149 ST,2018-03-06,19512.0,8915.0
3 AV-149 ST,2018-03-07,13191.0,6446.0
3 AV-149 ST,2018-03-08,18155.0,8473.0
3 AV-149 ST,2018-03-09,19682.0,8996.0
33 ST,2018-03-03,6861.0,7158.0
33 ST,2018-03-04,5214.0,5596.0
33 ST,2018-03-05,25441.0,19859.0
33 ST,2018-03-06,27364.0,21709.0
33 ST,2018-03-07,20850.0,16050.0
33 ST,2018-03-08,26440.0,20473.0
33 ST,2018-03-09,26204.0,20713.0
33 ST-RAWSON ST,2018-03-03,2989.0,2240.0
33 ST-RAWSON ST,2018-03-04,1486.0,1197.0
33 ST-RAWSON ST,2018-03-05,14166.0,8665.0
33 ST-RAWSON ST,2018-03-06,15080.0,8719.0
33 ST-RAWSON ST,2018-03-07,10708.0,6646.0
33 ST-RAWSON ST,2018-03-08,14807.0,10024.0
33 ST-RAWSON ST,2018-03-09,11387.0,8098.0
